year,pop,inc100k,prev100k,mort100k,mort100klo,mort100khi
2012,3833916,49,73,5.2,4.6,5.8
1990,1383912,533,915,97,6.9,302
1991,1424513,612,971,101,8.3,307
1992,1465072,683,987,101,8.5,304
1993,1505303,748,978,97,7.7,297
1994,1544865,804,955,91,6.1,288
1995,1583453,855,925,85,4.8,276
1996,1620989,900,891,78,3.9,261
1997,1657349,931,851,72,3.3,242
1998,1692148,941,811,65,2.9,218
1999,1724924,938,768,58,2.8,192
2000,1755375,918,720,50,2.6,165
2001,1783349,882,662,43,2.8,135
2002,1808976,845,621,38,3.5,111
2003,1832602,810,595,35,4.9,94
2004,1854739,773,582,34,7.2,83
2005,1875805,733,579,35,10,76
2006,1895944,690,553,34,11,69
2007,1915187,645,513,31,9,65
2008,1933719,596,460,26,6.2,60
2009,1951715,545,433,25,5.2,59
2010,1969341,503,411,24,6,56
2011,1986701,455,380,23,5.9,51
2012,2003910,408,343,21,5.5,46
1990,149648341,84,140,7,5.2,9
1991,152153539,81,131,5.4,4.1,6.9
1992,154597985,78,123,5.2,4,6.6
1993,157011131,76,116,5.4,4.2,6.8
1994,159432909,73,109,5.5,4.3,6.8
1995,161890816,71,103,5.3,4.2,6.6
1996,164392423,69,98,5,4,6.1
1997,166925457,67,94,5,4,6.1
1998,169472347,64,91,5,4.1,6.1
1999,172006362,62,87,4.9,3.9,5.9
2000,174504898,60,84,4.4,3.6,5.3
2001,176968205,58,80,4.2,3.5,5
2002,179393768,57,76,3.9,3.2,4.6
2003,181752951,55,72,3.7,3.1,4.3
2004,184010283,53,68,3.5,3,4.1
2005,186142403,51,66,3.1,2.8,3.5
2006,188134315,50,62,3,2.8,3.3
2007,189996976,48,60,2.9,2.7,3.2
2008,191765567,47,57,3,2.7,3.2
2009,193490922,50,64,2.8,2.6,3
2010,195210154,46,58,2.7,2.5,3
2011,196935134,48,62,2.6,2.4,2.8
2012,198656019,46,59,2.5,2.3,2.6
1990,16459,17,23,0,0,0
1991,16937,17,22,0,0,0
1992,17343,17,22,0,0,0
1993,17700,17,22,0,0,0
1994,18051,17,22,0,0,0
1995,18425,17,23,5.5,5.5,5.5
1996,18834,17,24,5.4,5.3,5.4
1997,19270,18,27,5.3,5.2,5.4
1998,19726,14,19,5.3,5.2,5.3
1999,20186,9.7,11,5,5,5
2000,20643,5.6,8.4,5.3,5.1,5.5
2001,21084,5.5,6.8,4.8,4.8,4.9
2002,21518,5.3,6.4,4.9,4.7,5
2003,21982,5.2,7.6,4.7,4.6,4.8
